sectorName,companySymbol,acrynomName,companyUrl
Energy,2030,SARCO,/wps/portal/saudiexchange/hidden/company-profile-main/!ut/p/z1/jY_dbsIwDIWfhSeIG2jaXhbQCqO_RBu0N8jLLIhW6JaG8vpruRpof5Zvjv0d-ZhVbMuqE3Z6j1Y3J6x7XVZi54YC-MKHzJ_PZ1A8rPzFI2QchMc2twDI3O2BPBnHsIYIBKv-44cfKoS__dUdkkQCijQsMu65AJLfA99EvAK_ZJBorkG93TKPJs7S56solDMQUnjraRAC-MA2htrmbBSx9Z5sgvqUNsezStC8kZ2TRV23rFCoDhRTR3WOe2JyOK7bC1p1iHVrJdWkLL2yMs2GVdurxuRo8EiWDCuH4Y6Vjgic8TjgwWTCYZhZfKnpWdPlC-sMC0MfZ2pt3CisiZX9J-_Hpy3ovEumqdv1nYSj0ScTtMUQ/dz/d5/L0lHSklna2dvZ3BSQS9JUGhBQ01RQUJFS01ES3BtNXVwZy80SkNpanNZNWxIR3QyRXRwTlJTQS9aN181QTYwMkg4ME8wVkM0MDYwTzRHTUw4MUc1NS9aNl81QTYwMkg4ME9HRjJFMFFGOUJRREVHMTBLNC9nbG9iYWwvaHR0cDolMCUwdGFkYXd1bCUwL2NvbXBhbnlTeW1ib2wvMjAzMA!!/
Energy,2222,SAUDI ARAMCO,/wps/portal/saudiexchange/hidden/company-profile-main/!ut/p/z1/jY_dbsIwDIWfhSeIG2jaXhbQCqO_RBu0N8jLLIhW6JaG8vpruRpof5Zvjv0d-ZhVbMuqE3Z6j1Y3J6x7XVZi54YC-MKHzJ_PZ1A8rPzFI2QchMc2twDI3O2BPBnHsIYIBKv-44cfKoS__dUdkkQCijQsMu65AJLfA99EvAK_ZJBorkG93TKPJs7S56solDMQUnjraRAC-MA2htrmbBSx9Z5sgvqUNsezStC8kZ2TRV23rFCoDhRTR3WOe2JyOK7bC1p1iHVrJdWkLL2yMs2GVdurxuRo8EiWDCuH4Y6Vjgic8TjgwWTCYZhZfKnpWdPlC-sMC0MfZ2pt3CisiZX9J-_Hpy3ovEumqdv1nYSj0ScTtMUQ/dz/d5/L0lHSklna2dvZ3BSQS9JUGhBQ01RQUJFS01ES3BtNXVwZy80SkNpanNZNWxIR3QyRXRwTlJTQS9aN181QTYwMkg4ME8wVkM0MDYwTzRHTUw4MUc1NS9aNl81QTYwMkg4ME9HRjJFMFFGOUJRREVHMTBLNC9nbG9iYWwvaHR0cDolMCUwdGFkYXd1bCUwL2NvbXBhbnlTeW1ib2wvMjIyMg!!/
Energy,2380,PETRO RABIGH,/wps/portal/saudiexchange/hidden/company-profile-main/!ut/p/z1/jY_dbsIwDIWfhSeIG2jaXhbQCqO_RBu0N8jLLIhW6JaG8vpruRpof5Zvjv0d-ZhVbMuqE3Z6j1Y3J6x7XVZi54YC-MKHzJ_PZ1A8rPzFI2QchMc2twDI3O2BPBnHsIYIBKv-44cfKoS__dUdkkQCijQsMu65AJLfA99EvAK_ZJBorkG93TKPJs7S56solDMQUnjraRAC-MA2htrmbBSx9Z5sgvqUNsezStC8kZ2TRV23rFCoDhRTR3WOe2JyOK7bC1p1iHVrJdWkLL2yMs2GVdurxuRo8EiWDCuH4Y6Vjgic8TjgwWTCYZhZfKnpWdPlC-sMC0MfZ2pt3CisiZX9J-_Hpy3ovEumqdv1nYSj0ScTtMUQ/dz/d5/L0lHSklna2dvZ3BSQS9JUGhBQ01RQUJFS01ES3BtNXVwZy80SkNpanNZNWxIR3QyRXRwTlJTQS9aN181QTYwMkg4ME8wVkM0MDYwTzRHTUw4MUc1NS9aNl81QTYwMkg4ME9HRjJFMFFGOUJRREVHMTBLNC9nbG9iYWwvaHR0cDolMCUwdGFkYXd1bCUwL2NvbXBhbnlTeW1ib2wvMjM4MA!!/
Energy,2381,ARABIAN DRILLING,/wps/portal/saudiexchange/hidden/company-profile-main/!ut/p/z1/jY_dbsIwDIWfhSeIG2jaXhbQCqO_RBu0N8jLLIhW6JaG8vpruRpof5Zvjv0d-ZhVbMuqE3Z6j1Y3J6x7XVZi54YC-MKHzJ_PZ1A8rPzFI2QchMc2twDI3O2BPBnHsIYIBKv-44cfKoS__dUdkkQCijQsMu65AJLfA99EvAK_ZJBorkG93TKPJs7S56solDMQUnjraRAC-MA2htrmbBSx9Z5sgvqUNsezStC8kZ2TRV23rFCoDhRTR3WOe2JyOK7bC1p1iHVrJdWkLL2yMs2GVdurxuRo8EiWDCuH4Y6Vjgic8TjgwWTCYZhZfKnpWdPlC-sMC0MfZ2pt3CisiZX9J-_Hpy3ovEumqdv1nYSj0ScTtMUQ/dz/d5/L0lHSklna2dvZ3BSQS9JUGhBQ01RQUJFS01ES3BtNXVwZy80SkNpanNZNWxIR3QyRXRwTlJTQS9aN181QTYwMkg4ME8wVkM0MDYwTzRHTUw4MUc1NS9aNl81QTYwMkg4ME9HRjJFMFFGOUJRREVHMTBLNC9nbG9iYWwvaHR0cDolMCUwdGFkYXd1bCUwL2NvbXBhbnlTeW1ib2wvMjM4MQ!!/
Energy,4030,BAHRI,/wps/portal/saudiexchange/hidden/company-profile-main/!ut/p/z1/jY_dbsIwDIWfhSeIG2jaXhbQCqO_RBu0N8jLLIhW6JaG8vpruRpof5Zvjv0d-ZhVbMuqE3Z6j1Y3J6x7XVZi54YC-MKHzJ_PZ1A8rPzFI2QchMc2twDI3O2BPBnHsIYIBKv-44cfKoS__dUdkkQCijQsMu65AJLfA99EvAK_ZJBorkG93TKPJs7S56solDMQUnjraRAC-MA2htrmbBSx9Z5sgvqUNsezStC8kZ2TRV23rFCoDhRTR3WOe2JyOK7bC1p1iHVrJdWkLL2yMs2GVdurxuRo8EiWDCuH4Y6Vjgic8TjgwWTCYZhZfKnpWdPlC-sMC0MfZ2pt3CisiZX9J-_Hpy3ovEumqdv1nYSj0ScTtMUQ/dz/d5/L0lHSklna2dvZ3BSQS9JUGhBQ01RQUJFS01ES3BtNXVwZy80SkNpanNZNWxIR3QyRXRwTlJTQS9aN181QTYwMkg4ME8wVkM0MDYwTzRHTUw4MUc1NS9aNl81QTYwMkg4ME9HRjJFMFFGOUJRREVHMTBLNC9nbG9iYWwvaHR0cDolMCUwdGFkYXd1bCUwL2NvbXBhbnlTeW1ib2wvNDAzMA!!/
Energy,4200,ALDREES,/wps/portal/saudiexchange/hidden/company-profile-main/!ut/p/z1/jY_dbsIwDIWfhSeIG2jaXhbQCqO_RBu0N8jLLIhW6JaG8vpruRpof5Zvjv0d-ZhVbMuqE3Z6j1Y3J6x7XVZi54YC-MKHzJ_PZ1A8rPzFI2QchMc2twDI3O2BPBnHsIYIBKv-44cfKoS__dUdkkQCijQsMu65AJLfA99EvAK_ZJBorkG93TKPJs7S56solDMQUnjraRAC-MA2htrmbBSx9Z5sgvqUNsezStC8kZ2TRV23rFCoDhRTR3WOe2JyOK7bC1p1iHVrJdWkLL2yMs2GVdurxuRo8EiWDCuH4Y6Vjgic8TjgwWTCYZhZfKnpWdPlC-sMC0MfZ2pt3CisiZX9J-_Hpy3ovEumqdv1nYSj0ScTtMUQ/dz/d5/L0lHSklna2dvZ3BSQS9JUGhBQ01RQUJFS01ES3BtNXVwZy80SkNpanNZNWxIR3QyRXRwTlJTQS9aN181QTYwMkg4ME8wVkM0MDYwTzRHTUw4MUc1NS9aNl81QTYwMkg4ME9HRjJFMFFGOUJRREVHMTBLNC9nbG9iYWwvaHR0cDolMCUwdGFkYXd1bCUwL2NvbXBhbnlTeW1ib2wvNDIwMA!!/
Materials,1201,TAKWEEN,/wps/portal/saudiexchange/hidden/company-profile-main/!ut/p/z1/jY_dbsIwDIWfhSeIG2jaXhbQCqO_RBu0N8jLLIhW6JaG8vpruRpof5Zvjv0d-ZhVbMuqE3Z6j1Y3J6x7XVZi54YC-MKHzJ_PZ1A8rPzFI2QchMc2twDI3O2BPBnHsIYIBKv-44cfKoS__dUdkkQCijQsMu65AJLfA99EvAK_ZJBorkG93TKPJs7S56solDMQUnjraRAC-MA2htrmbBSx9Z5sgvqUNsezStC8kZ2TRV23rFCoDhRTR3WOe2JyOK7bC1p1iHVrJdWkLL2yMs2GVdurxuRo8EiWDCuH4Y6Vjgic8TjgwWTCYZhZfKnpWdPlC-sMC0MfZ2pt3CisiZX9J-_Hpy3ovEumqdv1nYSj0ScTtMUQ/dz/d5/L0lHSklna2dvZ3BSQS9JUGhBQ01RQUJFS01ES3BtNXVwZy80SkNpanNZNWxIR3QyRXRwTlJTQS9aN181QTYwMkg4ME8wVkM0MDYwTzRHTUw4MUc1NS9aNl81QTYwMkg4ME9HRjJFMFFGOUJRREVHMTBLNC9nbG9iYWwvaHR0cDolMCUwdGFkYXd1bCUwL2NvbXBhbnlTeW1ib2wvMTIwMQ!!/
Materials,1202,MEPCO,/wps/portal/saudiexchange/hidden/company-profile-main/!ut/p/z1/jY_dbsIwDIWfhSeIG2jaXhbQCqO_RBu0N8jLLIhW6JaG8vpruRpof5Zvjv0d-ZhVbMuqE3Z6j1Y3J6x7XVZi54YC-MKHzJ_PZ1A8rPzFI2QchMc2twDI3O2BPBnHsIYIBKv-44cfKoS__dUdkkQCijQsMu65AJLfA99EvAK_ZJBorkG93TKPJs7S56solDMQUnjraRAC-MA2htrmbBSx9Z5sgvqUNsezStC8kZ2TRV23rFCoDhRTR3WOe2JyOK7bC1p1iHVrJdWkLL2yMs2GVdurxuRo8EiWDCuH4Y6Vjgic8TjgwWTCYZhZfKnpWdPlC-sMC0MfZ2pt3CisiZX9J-_Hpy3ovEumqdv1nYSj0ScTtMUQ/dz/d5/L0lHSklna2dvZ3BSQS9JUGhBQ01RQUJFS01ES3BtNXVwZy80SkNpanNZNWxIR3QyRXRwTlJTQS9aN181QTYwMkg4ME8wVkM0MDYwTzRHTUw4MUc1NS9aNl81QTYwMkg4ME9HRjJFMFFGOUJRREVHMTBLNC9nbG9iYWwvaHR0cDolMCUwdGFkYXd1bCUwL2NvbXBhbnlTeW1ib2wvMTIwMg!!/
Materials,1210,BCI,/wps/portal/saudiexchange/hidden/company-profile-main/!ut/p/z1/jY_dbsIwDIWfhSeIG2jaXhbQCqO_RBu0N8jLLIhW6JaG8vpruRpof5Zvjv0d-ZhVbMuqE3Z6j1Y3J6x7XVZi54YC-MKHzJ_PZ1A8rPzFI2QchMc2twDI3O2BPBnHsIYIBKv-44cfKoS__dUdkkQCijQsMu65AJLfA99EvAK_ZJBorkG93TKPJs7S56solDMQUnjraRAC-MA2htrmbBSx9Z5sgvqUNsezStC8kZ2TRV23rFCoDhRTR3WOe2JyOK7bC1p1iHVrJdWkLL2yMs2GVdurxuRo8EiWDCuH4Y6Vjgic8TjgwWTCYZhZfKnpWdPlC-sMC0MfZ2pt3CisiZX9J-_Hpy3ovEumqdv1nYSj0ScTtMUQ/dz/d5/L0lHSklna2dvZ3BSQS9JUGhBQ01RQUJFS01ES3BtNXVwZy80SkNpanNZNWxIR3QyRXRwTlJTQS9aN181QTYwMkg4ME8wVkM0MDYwTzRHTUw4MUc1NS9aNl81QTYwMkg4ME9HRjJFMFFGOUJRREVHMTBLNC9nbG9iYWwvaHR0cDolMCUwdGFkYXd1bCUwL2NvbXBhbnlTeW1ib2wvMTIxMA!!/
Materials,1211,MAADEN,/wps/portal/saudiexchange/hidden/company-profile-main/!ut/p/z1/jY_dbsIwDIWfhSeIG2jaXhbQCqO_RBu0N8jLLIhW6JaG8vpruRpof5Zvjv0d-ZhVbMuqE3Z6j1Y3J6x7XVZi54YC-MKHzJ_PZ1A8rPzFI2QchMc2twDI3O2BPBnHsIYIBKv-44cfKoS__dUdkkQCijQsMu65AJLfA99EvAK_ZJBorkG93TKPJs7S56solDMQUnjraRAC-MA2htrmbBSx9Z5sgvqUNsezStC8kZ2TRV23rFCoDhRTR3WOe2JyOK7bC1p1iHVrJdWkLL2yMs2GVdurxuRo8EiWDCuH4Y6Vjgic8TjgwWTCYZhZfKnpWdPlC-sMC0MfZ2pt3CisiZX9J-_Hpy3ovEumqdv1nYSj0ScTtMUQ/dz/d5/L0lHSklna2dvZ3BSQS9JUGhBQ01RQUJFS01ES3BtNXVwZy80SkNpanNZNWxIR3QyRXRwTlJTQS9aN181QTYwMkg4ME8wVkM0MDYwTzRHTUw4MUc1NS9aNl81QTYwMkg4ME9HRjJFMFFGOUJRREVHMTBLNC9nbG9iYWwvaHR0cDolMCUwdGFkYXd1bCUwL2NvbXBhbnlTeW1ib2wvMTIxMQ!!/
