sectorName,symbol,name,announced,eligibility_date,distribution_date,distribution_way,dividend_per_share
Energy,2030,SARCO,30/03/2023,22/06/2023,19/07/2023,تحويل للحساب,1
Energy,2030,SARCO,24/03/2022,28/06/2022,14/07/2022,تحويل للحساب,0.5
Energy,2030,SARCO,04/03/2021,21/04/2021,10/05/2021,تحويل للحساب,0.75
Energy,2030,SARCO,11/03/2020,21/04/2020,10/05/2020,تحويل للحساب,1
Energy,2030,SARCO,07/03/2019,24/04/2019,08/05/2019,تحويل للحساب,0.75
Energy,2222,SAUDI ARAMCO,09/05/2023,16/05/2023,31/05/2023,تحويل للحساب,0.3024
Energy,2222,SAUDI ARAMCO,12/03/2023,14/03/2023,20/03/2023,تحويل للحساب,0.3326
Energy,2222,SAUDI ARAMCO,01/11/2022,08/11/2022,28/11/2022,تحويل للحساب,0.3198
Energy,2222,SAUDI ARAMCO,14/08/2022,21/08/2022,07/09/2022,تحويل للحساب,0.3198
Energy,2222,SAUDI ARAMCO,15/05/2022,23/05/2022,08/06/2022,تحويل للحساب,0.3198
Energy,2380,PETRO RABIGH,08/03/2018,24/04/2018,08/05/2018,تحويل للحساب,0.5
Energy,2380,PETRO RABIGH,01/07/2015,27/07/2015,18/08/2015,تحويل للحساب,0.5
Energy,2381,ARABIAN DRILLING,02/08/2023,N/A,N/A,تحويل للحساب,2.53
Energy,4030,BAHRI,15/03/2023,19/06/2023,16/07/2023,تحويل للحساب,0.5
Energy,4030,BAHRI,21/09/2021,05/10/2021,24/10/2021,تحويل للحساب,1
Energy,4030,BAHRI,28/01/2021,26/04/2021,09/05/2021,تحويل للحساب,1
Energy,4030,BAHRI,21/09/2020,05/10/2020,22/10/2020,تحويل للحساب,1
Energy,4030,BAHRI,20/01/2020,20/04/2020,10/05/2020,تحويل للحساب,1
Energy,4200,ALDREES,22/01/2023,01/05/2023,15/05/2023,تحويل للحساب,2
Energy,4200,ALDREES,18/01/2022,28/02/2022,14/03/2022,تحويل للحساب,1.5
Energy,4200,ALDREES,19/01/2021,14/04/2021,28/04/2021,تحويل للحساب,1
Energy,4200,ALDREES,31/03/2020,28/04/2020,12/05/2020,تحويل للحساب,1.5
Energy,4200,ALDREES,17/01/2019,18/03/2019,02/04/2019,تحويل للحساب,1
Materials,1201,TAKWEEN,17/02/2014,02/04/2014,29/04/2014,تحويل للحساب,0.5
Materials,1201,TAKWEEN,17/02/2013,08/04/2013,29/04/2013,تحويل للحساب,0.5
Materials,1201,TAKWEEN,03/03/2012,18/04/2012,02/05/2012,تحويل للحساب,1.35
Materials,1202,MEPCO,23/05/2023,22/06/2023,11/07/2023,تحويل للحساب,0.5
Materials,1202,MEPCO,09/10/2022,13/10/2022,25/10/2022,تحويل للحساب,0.5
Materials,1202,MEPCO,17/03/2022,13/06/2022,23/06/2022,تحويل للحساب,1
Materials,1202,MEPCO,10/03/2019,11/03/2019,25/03/2019,تحويل للحساب,0.5
Materials,1202,MEPCO,30/10/2018,01/11/2018,14/11/2018,تحويل للحساب,0.5
Materials,1210,BCI,22/03/2023,N/A,N/A,تحويل للحساب,1
Materials,1210,BCI,19/12/2019,09/03/2020,17/03/2020,تحويل للحساب,1
Materials,1210,BCI,27/02/2018,15/05/2018,06/06/2018,تحويل للحساب,1
Materials,1210,BCI,05/03/2017,10/05/2017,23/05/2017,تحويل للحساب,1
Materials,1210,BCI,10/04/2016,15/05/2016,09/06/2016,تحويل للحساب,1
Materials,1301,ASLAK,01/08/2022,07/08/2022,18/08/2022,تحويل للحساب,1
Materials,1301,ASLAK,01/02/2022,10/02/2022,21/02/2022,تحويل للحساب,0.45
Materials,1301,ASLAK,29/07/2021,02/08/2021,17/08/2021,تحويل للحساب,0.75
Materials,1301,ASLAK,17/02/2021,21/02/2021,03/03/2021,تحويل للحساب,1
Materials,1301,ASLAK,16/09/2020,27/09/2020,08/10/2020,تحويل للحساب,1
Materials,1304,ALYAMAMAH STEEL,12/05/2022,16/06/2022,29/06/2022,تحويل للحساب,0.75
Materials,1304,ALYAMAMAH STEEL,13/12/2021,30/12/2021,12/01/2022,تحويل للحساب,1
Materials,1304,ALYAMAMAH STEEL,06/05/2021,20/05/2021,02/06/2021,تحويل للحساب,0.75
Materials,1304,ALYAMAMAH STEEL,23/12/2020,15/02/2021,25/02/2021,تحويل للحساب,1
Materials,1304,ALYAMAMAH STEEL,22/01/2018,28/01/2018,18/02/2018,تحويل للحساب,0.5
Materials,1320,SSP,07/07/2015,09/07/2015,30/07/2015,تحويل للحساب,0.5
Materials,1320,SSP,24/02/2015,01/04/2015,21/04/2015,تحويل للحساب,0.5
Materials,1320,SSP,16/07/2013,17/07/2013,01/08/2013,تحويل للحساب,0.75
Materials,1320,SSP,18/02/2013,03/04/2013,18/04/2013,تحويل للحساب,0.75
Materials,1320,SSP,20/02/2012,19/03/2012,04/04/2012,تحويل للحساب,0.75
Materials,1321,EAST PIPES,25/05/2023,16/07/2023,30/07/2023,تحويل للحساب,1
Materials,1322, AMAK,31/05/2023,05/06/2023,15/06/2023,تحويل للحساب,1
Materials,1322, AMAK,14/11/2022,21/11/2022,30/11/2022,تحويل للحساب,0.6
Materials,1322, AMAK,19/07/2022,26/07/2022,09/08/2022,تحويل للحساب,2
Materials,2001,CHEMANOL,17/02/2014,07/05/2014,21/05/2014,تحويل للحساب,0.6
Materials,2001,CHEMANOL,23/02/2013,27/04/2013,21/05/2013,تحويل للحساب,0.5
Materials,2010,SABIC,15/06/2023,12/09/2023,02/10/2023,تحويل للحساب,1.8
Materials,2010,SABIC,13/12/2022,13/03/2023,02/04/2023,تحويل للحساب,2
Materials,2010,SABIC,19/06/2022,11/09/2022,02/10/2022,تحويل للحساب,2.25
Materials,2010,SABIC,15/12/2021,10/04/2022,25/04/2022,تحويل للحساب,2.25
Materials,2010,SABIC,22/06/2021,19/09/2021,03/10/2021,تحويل للحساب,1.75
Materials,2020,SABIC AGRI-NUTRIENTS,05/06/2023,16/07/2023,31/07/2023,تحويل للحساب,3
Materials,2020,SABIC AGRI-NUTRIENTS,20/12/2022,26/03/2023,13/04/2023,تحويل للحساب,8
Materials,2020,SABIC AGRI-NUTRIENTS,29/06/2022,17/07/2022,01/08/2022,تحويل للحساب,4
Materials,2020,SABIC AGRI-NUTRIENTS,20/12/2021,13/04/2022,27/04/2022,تحويل للحساب,3
Materials,2020,SABIC AGRI-NUTRIENTS,14/06/2021,30/06/2021,14/07/2021,تحويل للحساب,1.25
Materials,2060,TASNEE,18/02/2015,08/04/2015,20/04/2015,تحويل للحساب,1
Materials,2060,TASNEE,19/02/2014,01/04/2014,15/04/2014,تحويل للحساب,1.5
Materials,2060,TASNEE,24/12/2012,06/04/2013,17/04/2013,تحويل للحساب,2
Materials,2060,TASNEE,27/12/2011,04/04/2012,18/04/2012,تحويل للحساب,1.5
Materials,2060,TASNEE,21/02/2011,04/04/2011,19/04/2011,تحويل للحساب,1
Materials,2090,NGC,31/03/2022,26/05/2022,09/06/2022,تحويل للحساب,1
Materials,2090,NGC,30/03/2021,05/05/2021,23/05/2021,تحويل للحساب,0.6
Materials,2090,NGC,17/03/2020,15/04/2020,27/04/2020,تحويل للحساب,0.35
Materials,2090,NGC,14/03/2019,09/04/2019,24/04/2019,تحويل للحساب,0.4
Materials,2090,NGC,14/03/2017,28/05/2017,06/06/2017,تحويل للحساب,0.5
Materials,2150,ZOUJAJ,27/07/2023,03/08/2023,N/A,تحويل للحساب,0.5
Materials,2150,ZOUJAJ,28/12/2022,01/02/2023,09/02/2023,تحويل للحساب,0.5
Materials,2150,ZOUJAJ,30/03/2022,18/05/2022,02/06/2022,تحويل للحساب,0.5
Materials,2150,ZOUJAJ,03/01/2022,16/01/2022,30/01/2022,تحويل للحساب,0.5
Materials,2150,ZOUJAJ,09/04/2019,15/04/2019,28/04/2019,تحويل للحساب,0.75
Materials,2170,ALUJAIN,05/06/2022,30/06/2022,20/07/2022,تحويل للحساب,1.5
Materials,2170,ALUJAIN,31/10/2021,04/11/2021,18/11/2021,تحويل للحساب,1
Materials,2170,ALUJAIN,24/10/2016,29/12/2016,17/07/2017,تحويل للحساب,0.5
Materials,2170,ALUJAIN,13/11/2016,29/12/2016,17/07/2017,تحويل للحساب,0.5
Materials,2170,ALUJAIN,14/06/1998,18/06/1998,13/07/1999,بالبريد,5
Materials,2180,FIPCO,31/01/2017,01/05/2017,21/05/2017,تحويل للحساب,0.5
Materials,2180,FIPCO,27/01/2015,02/04/2015,30/04/2015,تحويل للحساب,1
Materials,2180,FIPCO,15/01/2014,06/04/2014,29/05/2014,تحويل للحساب,1
Materials,2180,FIPCO,19/01/2013,21/04/2013,18/05/2013,تحويل للحساب,1
Materials,2180,FIPCO,31/12/2011,11/04/2012,01/05/2012,تحويل للحساب,1
Materials,2200,APC,29/12/2007,05/04/2008,16/04/2008,تحويل للحساب,1.5
Materials,2210,NAMA CHEMICALS,01/05/2000,25/05/2000,N/A,بالبريد,2.5
Materials,2210,NAMA CHEMICALS,23/05/1999,29/05/1999,N/A,بالبريد,2.5
